"","college","income","overage","leftover","house","handset_price","over_15mins_calls_per_month","average_call_duration","reported_satisfaction","reported_usage_level","considering_change_of_plan","leave"
"6","zero",133728,64,48,632969,626,3,2,"unsat","high","no","STAY"
"9","zero",38171,0,7,274218,190,0,5,"very_sat","little","actively_looking_into_it","STAY"
"11","zero",20120,43,0,623166,209,5,8,"very_sat","little","never_thought","STAY"
"16","zero",159902,0,20,213299,516,1,4,"very_sat","high","actively_looking_into_it","STAY"
"22","one",86658,78,15,150852,296,4,5,"very_sat","very_high","never_thought","STAY"
"45","one",32061,68,55,247138,209,5,2,"very_unsat","little","no","STAY"
"46","one",20548,0,13,618233,247,0,4,"sat","very_high","no","STAY"
"54","zero",73689,0,73,435407,142,0,2,"very_sat","very_high","considering","LEAVE"
"55","one",42585,72,83,477745,142,4,1,"very_unsat","little","actively_looking_into_it","STAY"
"63","one",84371,38,22,763123,292,14,4,"very_sat","little","considering","STAY"
"70","zero",57460,56,63,526910,327,5,2,"very_sat","very_little","considering","STAY"
"72","zero",137059,239,0,194351,588,29,6,"very_unsat","very_little","considering","STAY"
"79","one",103506,78,22,258527,631,1,4,"very_unsat","little","no","STAY"
"83","zero",34845,0,35,382242,203,1,2,"very_sat","very_high","considering","LEAVE"
"86","one",87141,0,20,277228,250,1,4,"very_unsat","avg","actively_looking_into_it","LEAVE"
"88","one",124092,94,65,395269,561,3,2,"very_unsat","little","considering","STAY"
"91","zero",45473,204,15,361403,197,15,5,"very_sat","little","no","LEAVE"
"94","one",38814,0,48,814203,188,1,2,"very_sat","little","considering","STAY"
"95","zero",45870,214,0,201417,159,19,8,"sat","little","never_thought","LEAVE"
"97","one",50871,232,32,608297,381,18,1,"unsat","very_little","actively_looking_into_it","STAY"
"98","one",113468,0,10,214042,483,0,5,"very_sat","very_high","considering","STAY"
"101","one",79719,202,79,176013,256,21,5,"very_unsat","high","no","LEAVE"
"108","zero",31556,71,76,324804,195,15,1,"unsat","little","never_thought","LEAVE"
"110","zero",63466,67,0,728459,254,4,14,"very_sat","little","no","STAY"
"118","one",56005,154,23,270679,206,0,12,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"120","zero",110061,0,25,902824,817,0,1,"very_sat","very_high","actively_looking_into_it","LEAVE"
"122","one",45347,56,66,768301,177,4,2,"very_sat","very_little","actively_looking_into_it","STAY"
"134","one",139334,38,41,378749,705,4,2,"very_sat","very_little","considering","LEAVE"
"136","zero",76995,55,23,388798,648,3,4,"unsat","very_high","actively_looking_into_it","STAY"
"140","one",132729,245,0,975834,319,21,10,"avg","avg","actively_looking_into_it","LEAVE"
"143","zero",98101,175,12,185838,381,14,6,"avg","little","actively_looking_into_it","LEAVE"
"144","one",92165,152,0,771245,372,26,15,"avg","high","actively_looking_into_it","STAY"
"154","zero",130831,203,37,679608,564,13,2,"very_unsat","little","considering","LEAVE"
"161","zero",102317,70,0,502376,571,3,12,"avg","high","actively_looking_into_it","STAY"
"163","one",44734,0,58,809949,200,1,13,"sat","little","actively_looking_into_it","LEAVE"
"165","zero",151743,226,0,252067,781,11,12,"very_unsat","little","considering","LEAVE"
"172","one",141865,154,6,280204,691,3,5,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"173","one",112939,213,0,206983,494,26,13,"very_sat","little","considering","LEAVE"
"185","zero",66588,233,0,215514,371,18,15,"unsat","very_little","actively_looking_into_it","LEAVE"
"194","one",25013,57,88,497345,138,3,2,"very_sat","very_little","actively_looking_into_it","STAY"
"202","one",28311,0,52,344968,169,1,1,"very_unsat","very_high","never_thought","STAY"
"205","zero",44315,221,0,204100,131,14,14,"very_unsat","avg","actively_looking_into_it","STAY"
"223","zero",81288,49,0,276667,266,4,8,"very_sat","very_little","considering","LEAVE"
"231","one",140091,63,20,354330,763,3,5,"avg","little","no","STAY"
"243","zero",38212,0,20,435049,176,17,4,"very_unsat","very_little","considering","STAY"
"245","one",49927,38,22,525311,160,5,5,"very_unsat","little","considering","LEAVE"
"249","one",151155,74,0,169335,744,3,14,"very_unsat","very_high","no","LEAVE"
"256","zero",32786,203,18,847293,217,28,15,"sat","little","considering","STAY"
"257","one",29215,0,11,829545,147,0,5,"very_unsat","very_little","considering","STAY"
"264","zero",31754,61,0,548216,149,3,8,"very_unsat","very_high","considering","STAY"
"267","zero",40007,50,0,452723,140,5,1,"very_unsat","little","perhaps","LEAVE"
"269","zero",143837,216,66,164439,571,15,2,"unsat","very_little","considering","LEAVE"
"273","zero",26681,0,6,559376,159,20,6,"very_unsat","high","perhaps","STAY"
"284","one",134002,57,14,480675,238,19,4,"very_unsat","little","considering","LEAVE"
"287","one",20569,152,0,496985,185,14,13,"very_sat","little","considering","LEAVE"
"292","one",76035,50,12,522691,377,3,5,"very_unsat","very_little","actively_looking_into_it","STAY"
"308","zero",21437,64,37,200628,188,0,2,"very_unsat","avg","considering","STAY"
"316","one",142292,238,81,211362,761,21,1,"avg","very_high","actively_looking_into_it","LEAVE"
"321","one",143424,0,40,448696,766,26,2,"very_sat","little","considering","LEAVE"
"333","one",51168,56,13,952782,389,3,5,"very_unsat","very_little","never_thought","STAY"
"342","zero",151435,0,78,489304,680,1,2,"very_unsat","little","considering","LEAVE"
"347","one",48597,74,81,152223,142,3,1,"unsat","little","actively_looking_into_it","STAY"
"350","zero",21634,48,50,505301,234,5,2,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"355","zero",114706,0,5,448239,507,1,4,"very_sat","very_little","actively_looking_into_it","STAY"
"357","zero",117531,0,74,464741,673,1,1,"sat","very_high","considering","STAY"
"361","zero",151020,54,70,906567,757,5,2,"unsat","little","never_thought","LEAVE"
"363","one",118428,72,13,733268,422,5,6,"unsat","very_high","considering","LEAVE"
"364","one",84822,71,9,179746,306,0,6,"avg","little","considering","LEAVE"
"368","one",105344,0,83,978189,713,1,1,"very_sat","little","considering","LEAVE"
"370","zero",90368,0,0,176305,280,1,8,"unsat","very_high","actively_looking_into_it","LEAVE"
"380","zero",99435,51,0,899737,296,11,8,"unsat","little","considering","STAY"
"384","zero",75740,0,15,212115,395,0,4,"avg","little","perhaps","STAY"
"386","zero",114773,0,0,772632,672,0,9,"unsat","very_high","considering","STAY"
"398","one",38366,0,11,303773,199,1,5,"unsat","very_high","never_thought","STAY"
"409","one",65660,94,12,512966,369,3,4,"avg","little","actively_looking_into_it","STAY"
"412","zero",147296,55,30,289121,331,4,1,"unsat","very_little","considering","LEAVE"
"417","one",90964,248,0,699052,398,27,14,"very_unsat","very_high","considering","STAY"
"421","zero",29941,66,62,957745,184,4,2,"very_sat","little","no","STAY"
"426","one",66392,57,0,347917,302,1,12,"very_sat","little","considering","LEAVE"
"430","one",40723,0,14,216914,628,0,1,"very_sat","very_little","no","STAY"
"433","zero",113868,227,41,183375,573,13,1,"very_unsat","very_high","considering","STAY"
"437","zero",144945,0,28,920902,459,1,1,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"439","one",87597,0,24,999248,191,0,5,"very_unsat","high","no","STAY"
"451","zero",47238,224,13,155134,233,20,4,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"457","one",36585,0,43,344581,537,0,1,"avg","very_high","no","LEAVE"
"458","one",43760,60,0,345936,143,11,13,"unsat","little","actively_looking_into_it","LEAVE"
"459","one",39061,0,0,202126,151,0,11,"very_unsat","very_little","never_thought","LEAVE"
"472","one",109273,182,22,675062,360,29,5,"unsat","little","considering","LEAVE"
"475","zero",92270,0,39,624619,251,0,1,"very_unsat","little","never_thought","STAY"
"477","zero",55125,0,0,784647,648,0,11,"very_sat","high","considering","STAY"
"483","one",36724,0,11,499965,130,1,5,"unsat","very_little","actively_looking_into_it","LEAVE"
"491","one",90415,179,0,566426,369,14,15,"unsat","little","actively_looking_into_it","STAY"
"495","one",34569,0,80,737019,230,0,1,"very_unsat","little","actively_looking_into_it","STAY"
"499","zero",44630,0,71,231648,179,1,1,"very_sat","high","considering","STAY"
"500","zero",59023,0,55,501509,356,0,2,"very_unsat","avg","considering","LEAVE"
"507","zero",25550,0,66,181050,156,1,2,"unsat","little","considering","LEAVE"
"508","one",59132,0,0,639521,394,0,6,"very_unsat","little","actively_looking_into_it","STAY"
"510","one",96534,0,37,180751,311,1,2,"very_sat","high","considering","LEAVE"
"512","one",97682,0,89,150853,310,0,2,"very_sat","little","considering","LEAVE"
"513","zero",155465,0,21,182984,620,0,6,"sat","very_high","never_thought","STAY"
"515","zero",93250,51,9,259316,273,3,6,"very_sat","very_high","considering","LEAVE"
"516","zero",70419,205,81,165912,334,25,1,"very_unsat","high","actively_looking_into_it","LEAVE"
"522","zero",59191,258,0,509716,252,15,10,"avg","avg","perhaps","LEAVE"
"531","zero",66257,0,0,216566,272,1,13,"very_unsat","very_little","perhaps","STAY"
"535","one",48960,187,14,161765,168,17,4,"very_unsat","very_little","considering","LEAVE"
"536","zero",111791,74,17,185307,693,3,6,"very_sat","very_little","considering","STAY"
"537","one",118952,0,62,293915,701,0,2,"very_sat","very_little","never_thought","LEAVE"
"538","one",44952,0,0,572146,334,1,10,"very_sat","little","considering","LEAVE"
"544","one",47711,183,17,730589,192,19,5,"unsat","little","considering","STAY"
"545","one",72537,238,0,382437,352,19,8,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"547","one",96728,60,18,899555,289,3,6,"very_sat","very_high","considering","STAY"
"548","zero",30712,0,5,750197,220,0,4,"avg","very_high","actively_looking_into_it","STAY"
"550","one",91112,167,0,267380,399,16,9,"very_unsat","little","actively_looking_into_it","LEAVE"
"551","one",20806,165,48,806587,209,27,4,"very_unsat","very_little","considering","STAY"
"553","one",44856,171,0,656941,175,12,8,"very_sat","high","considering","STAY"
"558","one",62050,45,9,851437,379,3,6,"very_sat","little","actively_looking_into_it","STAY"
"561","one",46309,189,25,304655,222,26,1,"very_unsat","little","considering","LEAVE"
"567","one",152502,223,0,407489,398,0,1,"very_unsat","very_high","never_thought","STAY"
"568","one",95692,39,12,650464,316,5,6,"very_sat","high","no","STAY"
"577","one",135279,0,41,821113,629,1,1,"avg","very_high","never_thought","STAY"
"580","one",23365,253,0,270514,231,27,8,"very_sat","very_high","considering","LEAVE"
"593","zero",105192,73,23,377586,738,5,6,"avg","very_little","never_thought","LEAVE"
"595","zero",157217,173,10,462062,648,19,5,"unsat","high","considering","LEAVE"
