"","college","income","overage","leftover","house","handset_price","over_15mins_calls_per_month","average_call_duration","reported_satisfaction","reported_usage_level","considering_change_of_plan","leave"
"6","0",1.28848203215743,-0.246613479110902,0.888486452055198,0.53148472114523,1.10373417950878,-0.553287803590016,-0.904238061024756,"unsat","high","no","STAY"
"9","0",-1.01725504121728,-0.989197998299674,-0.642195924324117,-0.885598705669588,-0.937538963816652,-0.891724629111485,-0.21825647471188,"very_sat","little","actively_looking_into_it","STAY"
"11","0",-1.45281559577097,-0.490274024469718,-0.903531939803512,0.492762407247664,-0.848584400231369,-0.327663253242369,0.467725111600996,"very_sat","little","never_thought","STAY"
"16","0",1.92004604273237,-0.989197998299674,-0.156857609862383,-1.12623163847851,0.588734074541352,-0.778912353937662,-0.446917003482839,"very_sat","high","actively_looking_into_it","STAY"
"22","1",0.152709205009787,-0.0841731155383584,-0.343526192347665,-1.37290024359544,-0.441266135393497,-0.440475528416192,-0.21825647471188,"very_sat","very_high","never_thought","STAY"
"45","1",-1.16468593082578,-0.200201946661604,1.14982246753459,-0.992565987149348,-0.848584400231369,-0.327663253242369,-0.904238061024756,"very_unsat","little","no","STAY"
"46","1",-1.44248819466582,-0.989197998299674,-0.418193625341778,0.473276823808238,-0.670675273060805,-0.891724629111485,-0.446917003482839,"sat","very_high","no","STAY"
"54","0",-0.160225526141219,-0.989197998299674,1.82182936448161,-0.248894527883732,-1.16226628234789,-0.891724629111485,-0.904238061024756,"very_sat","very_high","considering","LEAVE"
"55","1",-0.910747684960007,-0.153790414212306,2.19516652945217,-0.0816574243648965,-1.16226628234789,-0.440475528416192,-1.13289858979571,"very_unsat","little","actively_looking_into_it","STAY"
"63","1",0.0975251715343956,-0.548288440031341,-0.0821901768682698,1.04559918029282,-0.459993411937767,0.687647223322039,-0.446917003482839,"very_sat","little","considering","STAY"
"70","0",-0.551822237672537,-0.339436544009499,1.44849219951105,0.112546652221233,-0.296129742175405,-0.327663253242369,-0.904238061024756,"very_sat","very_little","considering","STAY"
"72","0",1.36885720290799,1.78389106554589,-0.903531939803512,-1.20107713513576,0.925825052338211,2.37983135092939,0.0104040540590785,"very_unsat","very_little","considering","STAY"
"79","1",0.559242041036631,-0.0841731155383584,-0.0821901768682698,-0.94757889819909,1.12714327518911,-0.778912353937662,-0.446917003482839,"very_unsat","little","no","STAY"
"83","0",-1.09750956475866,-0.989197998299674,0.403148137593464,-0.458898793757861,-0.876675315047774,-0.778912353937662,-0.904238061024756,"very_sat","very_high","considering","LEAVE"
"86","1",0.164363725415827,-0.989197998299674,-0.156857609862383,-0.873709063230368,-0.656629815652602,-0.778912353937662,-0.446917003482839,"very_unsat","avg","actively_looking_into_it","LEAVE"
"88","1",1.05597073064066,0.101473014258834,1.52315963250516,-0.407441527294168,0.799415935664389,-0.553287803590016,-0.904238061024756,"very_unsat","little","considering","STAY"
"91","0",-0.841061856942111,1.37779015661454,-0.343526192347665,-0.541213829901019,-0.904766229864179,0.800459498495862,-0.21825647471188,"very_sat","little","no","LEAVE"
"94","1",-1.00173981011773,-0.989197998299674,0.888486452055198,1.24736759750058,-0.946902602088787,-0.778912353937662,-0.904238061024756,"very_sat","little","considering","STAY"
"95","0",-0.831482468533833,1.49381898773778,-0.903531939803512,-1.17316610075851,-1.08267535703474,1.25170859919115,0.467725111600996,"sat","little","never_thought","LEAVE"
"97","1",-0.71081112991974,1.70267088375962,0.291146988102295,0.434029153616846,-0.0433115088277603,1.13889632401733,-1.13289858979571,"unsat","very_little","actively_looking_into_it","STAY"
"98","1",0.79961954059144,-0.989197998299674,-0.530194774832947,-1.12329675331826,0.434234043051124,-0.891724629111485,-0.21825647471188,"very_sat","very_high","considering","STAY"
"101","1",-0.0147249918794742,1.35458439038989,2.04583166346395,-1.2735131029266,-0.628538900836197,1.4773331495388,-0.21825647471188,"very_unsat","high","no","LEAVE"
"108","0",-1.17687129895218,-0.16539329732463,1.93383051397278,-0.685781611838897,-0.914129868136314,0.800459498495862,-1.13289858979571,"unsat","little","never_thought","LEAVE"
"110","0",-0.406900810014819,-0.211804829773929,-0.903531939803512,0.908674739923009,-0.637902539108332,-0.440475528416192,1.83968828422675,"very_sat","little","no","STAY"
"118","1",-0.586930575541664,0.797646000998308,-0.0448564603712133,-0.899577923142146,-0.862629857639572,-0.891724629111485,1.38236722668483,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"120","0",0.717410532261462,-0.989197998299674,0.0298109726228996,1.59742474122354,1.99796163449767,-0.891724629111485,-1.13289858979571,"very_sat","very_high","actively_looking_into_it","LEAVE"
"122","1",-0.844102166613252,-0.339436544009499,1.56049334900222,1.06605252532613,-0.998402612585529,-0.440475528416192,-0.904238061024756,"very_sat","very_little","actively_looking_into_it","STAY"
"134","1",1.42375168308137,-0.548288440031341,0.627150436575803,-0.472696309053607,1.47359789125811,-0.440475528416192,-0.904238061024756,"very_sat","very_little","considering","LEAVE"
"136","0",-0.0804535914365209,-0.351039427121823,-0.0448564603712133,-0.43300228351483,1.20673420050226,-0.553287803590016,-0.446917003482839,"unsat","very_high","actively_looking_into_it","STAY"
"140","1",1.26437671976482,1.85350836421984,-0.903531939803512,1.88581769620276,-0.333584295263945,1.4773331495388,0.925046169142913,"avg","avg","actively_looking_into_it","LEAVE"
"143","0",0.428822407921419,1.04130654635712,-0.455527341838834,-1.23470388798795,-0.0433115088277603,0.687647223322039,0.0104040540590785,"avg","little","actively_looking_into_it","LEAVE"
"144","1",0.285590041192113,0.774440234773659,-0.903531939803512,1.0776814646421,-0.0854478810523677,2.04139452540792,2.06834881299771,"avg","high","actively_looking_into_it","STAY"
"154","0",1.21857903916303,1.36618727350221,0.477815570587577,0.715710978195987,0.813461393072591,0.574834948148216,-0.904238061024756,"very_unsat","little","considering","LEAVE"
"161","0",0.530552134695468,-0.176996180436955,-0.903531939803512,0.0156361912232852,0.846234127025064,-0.553287803590016,1.38236722668483,"avg","high","actively_looking_into_it","STAY"
"163","1",-0.858893514457771,-0.989197998299674,1.26182361702576,1.23056409619279,-0.890720772455977,-0.778912353937662,1.61102775545579,"sat","little","actively_looking_into_it","LEAVE"
"165","0",1.72317392680508,1.63305358508568,-0.903531939803512,-0.97309620389921,1.82941614559924,0.34921039780057,1.38236722668483,"very_unsat","little","considering","LEAVE"
"172","1",1.48482330036437,0.797646000998308,-0.679529640821173,-0.861953722400096,1.40805242335316,-0.553287803590016,-0.21825647471188,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"173","1",0.786855065861015,1.48221610462546,-0.903531939803512,-1.15118013736426,0.485734053547867,2.04139452540792,1.61102775545579,"very_sat","little","considering","LEAVE"
"185","0",-0.331568692607661,1.71427376687195,-0.903531939803512,-1.11748228366028,-0.0901297001884352,1.13889632401733,2.06834881299771,"unsat","very_little","actively_looking_into_it","LEAVE"
"194","1",-1.33475023687499,-0.327833660897174,2.38183511193746,-0.00423649685369671,-1.18099355889216,-0.553287803590016,-0.904238061024756,"very_sat","very_little","actively_looking_into_it","STAY"
"202","1",-1.25517133770497,-0.989197998299674,1.03782131804342,-0.606132857638089,-1.03585716567407,-0.778912353937662,-1.13289858979571,"very_unsat","very_high","never_thought","STAY"
"205","0",-0.869003750586406,1.57503916952405,-0.903531939803512,-1.16256812379358,-1.21376629284463,0.687647223322039,1.83968828422675,"very_unsat","avg","actively_looking_into_it","STAY"
"223","0",0.0231341023587807,-0.42065672579577,-0.903531939803512,-0.87592503977801,-0.581720709475522,-0.440475528416192,0.467725111600996,"very_sat","very_little","considering","LEAVE"
"231","1",1.44201767055005,-0.258216362223227,-0.156857609862383,-0.569152514609525,1.74514340115002,-0.553287803590016,-0.21825647471188,"avg","little","no","STAY"
"243","0",-1.01626573410207,-0.989197998299674,-0.156857609862383,-0.250308644825008,-1.0030844317216,1.02608404884351,-0.446917003482839,"very_unsat","very_little","considering","STAY"
"245","1",-0.733589323011462,-0.548288440031341,-0.0821901768682698,0.106230526553355,-1.07799353789868,-0.327663253242369,-0.21825647471188,"very_unsat","little","considering","LEAVE"
"249","1",1.70898581500642,-0.130584647987657,-0.903531939803512,-1.29989151894291,1.65618883756474,-0.553287803590016,1.83968828422675,"very_unsat","very_high","no","LEAVE"
